Bill #,St,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
SB 1239,IL,Dceo-Data Center-Crypto M...,Dceo-Data Center-Crypto Mining,Feb 02 2023,Referred To Assignments,Feb 02 2023,https://openstates.org/il/bills/103rd/SB1239/,Sue Rezin,,https://ilga.gov/legislation/fulltext.asp?DocName=10300SB1239&GA=103&SessionId=112&DocTypeId=SB&LegID=145439&DocNum=1239&GAID=17&SpecSess=&Session=&print=true,63e753dd3174aee6dc3db4819c24c2f9b9dbce95
HB 849,MS,Securities laws; provide ...,Securities laws; provide certain exemptions regarding blockchain tokens.,Jan 16 2023,Died In Committee,Jan 31 2023,https://openstates.org/ms/bills/2023/HB849/,Jody Steverson,,http://billstatus.ls.state.ms.us/documents/2023/html/HB/0800-0899/HB0849IN.htm,34bfc5aaf39c52bef77ac980948cc1ee67654802
SB 1235,AZ,legal tender; specie; bit...,legal tender; specie; bitcoin,Jan 26 2023,Senate Second Reading,Jan 30 2023,https://openstates.org/az/bills/56th-1st-regular/SB1235/,Wendy Rogers,,https://www.azleg.gov/legtext/56leg/1R/bills/SB1235P.htm,492d3028b8f208aadac0847064f501c412e80e2a
A 2643,NY,Allows signatures secured...,Allows signatures secured through blockchain technology to be considered an electronic signature,Jan 26 2023,Referred To Governmental Operations,Jan 26 2023,https://openstates.org/ny/bills/2023-2024/A2643/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2643&term=2023&Text=Y,b6ced2e1c4648583324a76de58d8abd771d1e350
A 2566,NY,Relates to establishing a...,"Relates to establishing a task force to study and report on the potential implementation of blockchain technology in state record keeping, information storage, and service delivery",Jan 26 2023,Referred To Governmental Operations,Jan 26 2023,https://openstates.org/ny/bills/2023-2024/A2566/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2566&term=2023&Text=Y,c0b14efd5c61bbdf79d4ec1374b65ebdbdd59385
A 2561,NY,Studies the use of blockc...,Studies the use of blockchain technology in elections,Jan 26 2023,Referred To Election Law,Jan 26 2023,https://openstates.org/ny/bills/2023-2024/A2561/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2561&term=2023&Text=Y,ecb5887a7f4ff4231077d4a4ba3331c279174d4b
A 2676,NY,Establishes a task force ...,Establishes a task force to study the potential designation of economic empowerment zones in the state of New York,Jan 26 2023,Referred To Economic Development,Jan 26 2023,https://openstates.org/ny/bills/2023-2024/A2676/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2676&term=2023&Text=Y,5c4d1806f6b80761ff60ad27dddc5a64d2c92f98
A 2318,NY,Requires certain disclosu...,Requires certain disclosures in advertisements involving virtual tokens,Jan 25 2023,Referred To Science And Technology,Jan 25 2023,https://openstates.org/ny/bills/2023-2024/A2318/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A2318&term=2023&Text=Y,533b993736af435b3d1edbf25fa9eac401c8d9ff
LB 674,NE,Change provisions relatin...,Change provisions relating to digital asset depositories,Jan 18 2023,"Referred To Banking, Commerce And Insurance Committee",Jan 20 2023,https://openstates.org/ne/bills/108/LB674/,Mike Jacobson,,https://nebraskalegislature.gov/FloorDocs/108/PDF/Intro/LB674.pdf,62e6c27d83c7bde73445ea227bdce7d51370bafa
A 2371,NJ,"""Digital Asset and Blockc...","""Digital Asset and Blockchain Technology Act.""",Feb 07 2022,"Reported Out Of Senate Committee With Amendments, 2nd Reading",Jan 19 2023,https://openstates.org/nj/bills/220/A2371/,Joe Danielsen,"Angela V. McKnight; Park, Ellen J.",https://pub.njleg.state.nj.us/Bills/2022/A2500/2371_R2.HTM,93b1828ecc179204cdbfe2fe75694b6d9611c930
S 1756,NJ,"""Digital Asset and Blockc...","""Digital Asset and Blockchain Technology Act.""",Feb 28 2022,"Reported From Senate Committee As A Substitute, 2nd Reading",Jan 19 2023,https://openstates.org/nj/bills/220/S1756/,Andrew Zwicker,,https://pub.njleg.state.nj.us/Bills/2022/S2000/1756_U1.HTM,c431f884409b5ff74dd6618d25a0156349fc78eb
HB 5199,RI,An Act Relating To Making...,An Act Relating To Making Revised Appropriations In Support Of Fy 2023,Jan 19 2023,"01/19/2023 Introduced, Referred To House Finance",Jan 19 2023,https://openstates.org/ri/bills/2023/HB5199/,Marvin L. Abney,,http://webserver.rilegislature.gov/BillText/BillText23/HouseText23/H5199.pdf,41abe615959c019c023a091649905cbfce930744
HB 1141,WA,Making 2021-2023 fiscal b...,Making 2021-2023 fiscal biennium second supplemental operating appropriations.,Jan 05 2023,Scheduled For Public Hearing In The House Committee On Appropriations At 04:00 Pm,Jan 11 2023,https://openstates.org/wa/bills/2023-2024/HB1141/,Timm Ormsby,Mia Gregerson; Nicole Macri; Debra Lekanoff; Steve Bergquist,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/House%20Bills/1141.htm,4f2ccaa191222c5650cf14b7dd204489707d9474
A 944,NY,Establishes certain offen...,Establishes certain offenses relating to crypto fraud,Jan 11 2023,Referred To Codes,Jan 11 2023,https://openstates.org/ny/bills/2023-2024/A944/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A944&term=2023&Text=Y,a1f079fe37efde835a2a6adf35f1472ccc9d4267
A 954,NY,Establishes the New York ...,Establishes the New York state cryptocurrency and blockchain study task force,Jan 11 2023,Referred To Banks,Jan 11 2023,https://openstates.org/ny/bills/2023-2024/A954/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A954&term=2023&Text=Y,69b4e8697db26a8b53bb6a6055725cebbf2d974d
SB 5188,WA,Making 2021-2023 fiscal b...,Making 2021-2023 fiscal biennium second supplemental operating appropriations.,Jan 06 2023,Scheduled For Public Hearing In The Senate Committee On Ways & Means At 04:00 Pm,Jan 10 2023,https://openstates.org/wa/bills/2023-2024/SB5188/,Christine Rolfes,June Robinson; Joe Nguyen,http://lawfilesext.leg.wa.gov/Biennium/2023-24/Htm/Bills/Senate%20Bills/5188.htm,bf658c227fde83a769d1698d9c0dee189d3e9e4f
HB 5427,IL,Discovery Of Digital Asse...,Discovery Of Digital Assets,Jan 28 2022,Session Sine Die,Jan 10 2023,https://openstates.org/il/bills/102nd/HB5427/,Deanne M. Mazzochi,,https://ilga.gov/legislation/fulltext.asp?DocName=10200HB5427&GA=102&SessionId=110&DocTypeId=HB&LegID=139947&DocNum=5427&GAID=16&SpecSess=&Session=&print=true,de65142cb7b185632530c27de199ad51ae9bae82
SB 3643,IL,Dceo-Data Center-Crypto M...,Dceo-Data Center-Crypto Mining,Jan 21 2022,Session Sine Die,Jan 10 2023,https://openstates.org/il/bills/102nd/SB3643/,Sue Rezin,John F. Curran,https://ilga.gov/legislation/fulltext.asp?DocName=10200SB3643&GA=102&SessionId=110&DocTypeId=SB&LegID=138638&DocNum=3643&GAID=16&SpecSess=&Session=&print=true,6fbbc1dad59bd7593c5e20b6b473e0e7d31d59ec
SB 3435,IL,Special Purpose Trust Com...,Special Purpose Trust Company,Jan 18 2022,Session Sine Die,Jan 10 2023,https://openstates.org/il/bills/102nd/SB3435/,Laura Ellman,,https://ilga.gov/legislation/fulltext.asp?DocName=10200SB3435&GA=102&SessionId=110&DocTypeId=SB&LegID=138340&DocNum=3435&GAID=16&SpecSess=&Session=&print=true,6c92000c1e972b4f82b36eea72e10c501b2b7f32
HB 5287,IL,Idor-Cryptocurrency,Idor-Cryptocurrency,Jan 27 2022,Session Sine Die,Jan 10 2023,https://openstates.org/il/bills/102nd/HB5287/,Ram Villivalam,"Michael J. Zalewski; Jaime M. Andrade, Jr.; Mark L. Walker; Mark Batinick",https://ilga.gov/legislation/fulltext.asp?DocName=10200HB5287eng&GA=102&SessionId=110&DocTypeId=HB&LegID=139797&DocNum=5287&GAID=16&SpecSess=&Session=&print=true,bf55466677c08d731dc9452dbfa8a0ec269cf0e2
S 360,NY,Requires certain disclosu...,Requires certain disclosures in advertisements involving virtual tokens,Jan 04 2023,Referred To Banks,Jan 04 2023,https://openstates.org/ny/bills/2023-2024/S360/,Kevin Thomas,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S360&term=2023&Text=Y,b11b0b01e655cf739fff5f16643ecabc14f718c3
S 359,NY,Establishes certain offen...,Establishes certain offenses relating to crypto fraud,Jan 04 2023,Referred To Codes,Jan 04 2023,https://openstates.org/ny/bills/2023-2024/S359/,Kevin Thomas,,http://assembly.state.ny.us/leg/?sh=printbill&bn=S359&term=2023&Text=Y,262aa9e1f095920795ad89d326b0d8126595c283
PR 24-0996,DC,District of Columbia Boar...,"District of Columbia Board of Elections James Caleb Boggs, III Confirmation Resolution of 2022",Oct 21 2022,Approved With Resolution Number R24-0725,Dec 20 2022,https://openstates.org/dc/bills/24/PR24-0996/,Phil Mendelson,,https://lims.dccouncil.gov/downloads/LIMS/51496/Introduction/PR24-0996-Introduction.pdf,2c49296f55358c59f547a1aff052d30697fb3d51
SB 5544,WA,Establishing the Washingt...,Establishing the Washington blockchain work group.,Jan 10 2022,Prefiled For Introduction.,Dec 15 2022,https://openstates.org/wa/bills/2021-2022/SB5544/,Sharon Brown,Perry Dozier; David Frockt; Bob Hasegawa; Mark Mullet; Christine Rolfes; Shelly Short; Keith Wagoner; Lisa Wellman; L. Wilson,http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bills/Senate%20Bills/5544.htm,27d5d70fbdc67b6d1c92c8bb164f1eef024c8ab8
SB 5534,WA,Concerning the use of ver...,Concerning the use of verifiable credentials.,Jan 10 2022,Prefiled For Introduction.,Dec 13 2022,https://openstates.org/wa/bills/2021-2022/SB5534/,Sharon Brown,Keith Wagoner,http://lawfilesext.leg.wa.gov/Biennium/2021-22/Htm/Bills/Senate%20Bills/5534.htm,cb64854028a3e79d24059c7c937a4d2c13fb25ba
A 9275,NY,Establishes the New York ...,Establishes the New York state cryptocurrency and blockchain study task force,Feb 09 2022,Tabled,Nov 23 2022,https://openstates.org/ny/bills/2021-2022/A9275/,Clyde Vanel,,http://assembly.state.ny.us/leg/?sh=printbill&bn=A9275&term=2021&Text=Y,655371d758f40772958bb6c6b43eab2c2caa8d98
A 7389,NY,Establishes a moratorium ...,Establishes a moratorium on cryptocurrency mining operations that use proof-of-work authentication methods to validate blockchain transactions,May 06 2021,Approval Memo.26,Nov 22 2022,https://openstates.org/ny/bills/2021-2022/A7389/,Dr. Anna R. Kelles,"Donna A. Lupardo; Steve Englebright; Fred W. Thiele, Jr.; Deborah J. Glick; William B. Magnarelli; Harvey Epstein; Chris Burdick; Phil Steck; RIVERA JD; Sarah Clark; Yuh-Line Niou; Patricia Fahy; Monica P. Wallace; Didi Barrett; Robert C. Carroll; Linda B. Rosenthal; Rebecca A. Seawright; Emily Gallagher; Jessica González-Rojas; Carmen N. De La Rosa; Pat Burke; Victor M. Pichardo; Al Stirpe; Zohran K. Mamdani; Jo Anne Simon; Judy Griffin; Khaleel M. Anderson; Karen McMahon; Marcela Mitaynes; Steven Otis; John T. McDonald III; Richard N. Gottfried; Sandy Galef; Jeffrey Dinowitz; J. Gary Pretlow; Amy Paulin; Phara Souffrant Forrest; Stefani Zinerman; Gina L. Sillitti; Kenneth Zebrowski; Dan Quart; Kenny Burgos; Rodneyse Bichotte Hermelyn; Thomas J. Abinanti; Jonathan G. Jacobson; Charles D. Lavine; Nader J. Sayegh; William Colton; Catalina Cruz",http://legislation.nysenate.gov/pdf/bills/2021/A7389C,6f5202becdc8b9bba2d38cffadbbbc88dadf456e
SB 712,VA,"Regulatory Innovation, De...","Regulatory Innovation, Department of, and Virginia Regulatory Sandbox Program; created, report.",Jan 21 2022,Left In Finance And Appropriations,Nov 21 2022,https://openstates.org/va/bills/2023/SB712/,"William M. Stanley, Jr.",,https://lis.virginia.gov/cgi-bin/legp604.exe?231+ful+SB712,d2fd63b480203c870cbc2eca1f8d92893bd746cc
RC 527,PR,Para ordenar a la Comisió...,"Para ordenar a la Comisión de Gobierno de la Cámara de Representantes del Estado Libre Asociado de Puerto Rico realizar una investigación que ausculte el concepto de sistema en bloque (blockchain) para el sistema de almacenamiento gubernamental, así como la aprobación de la utilización de monedas digitales (criptomonedas) como método de pago aceptable en Puerto Rico; y para otros fines relacionados.",Sep 14 2021,Cuerpo Aprueba Informe Final Rendido,Nov 14 2022,https://openstates.org/pr/bills/2021-2024/RC527/,Rafael Hernández Montañez,,https://sutra.oslpr.org/osl/SUTRA/anejos/139737/RC0527-if.docx,9e071793a65bbae998ae65b1eab066536cdf7744
A 3288,NJ,Establishes Blockchain Pr...,Establishes Blockchain Promotion and Integration Program.,Mar 07 2022,"Received In The Senate, Referred To Senate Economic Growth Committee",Nov 03 2022,https://openstates.org/nj/bills/220/A3288/,Yvonne Lopez,Joe Danielsen; Linda S. Carter,https://pub.njleg.state.nj.us/Bills/2022/A3500/3288_R1.HTM,dd3b323464c7041dc8d410783b22d6603ead5117
A 1975,NJ,"""Virtual Currency and Blo...","""Virtual Currency and Blockchain Regulation Act.""",Jan 11 2022,"Received In The Senate, Referred To Senate Commerce Committee",Nov 03 2022,https://openstates.org/nj/bills/220/A1975/,Yvonne Lopez,,https://pub.njleg.state.nj.us/Bills/2022/A2000/1975_R2.HTM,48565c2109b8ebf1dd7c4e63370d9ddc27e1546a
H 5034,MA,An Act relating to econom...,An Act relating to economic growth and relief for the commonwealth,Jul 14 2022,Reported By H5374,Nov 02 2022,https://openstates.org/ma/bills/192nd/H5034/,,House Committee on Ways and Means,https://malegislature.gov/Bills/192/H5034.pdf,962afa018d82c02fc2908032c9fe95cb8dce444b
H 4922,MA,An Act relative to workfo...,An Act relative to workforce training,Jun 16 2022,Bill Reported Favorably By Committee And Referred To The Committee On House Ways And Means,Nov 02 2022,https://openstates.org/ma/bills/192nd/H4922/,,Josh S. Cutler; Kate Lipper-Garabedian,https://malegislature.gov/Bills/192/H4922.pdf,2a0e26e6dbc281ad80ca9e98c21bb8ca4eaf6667
H 1094,MA,An Act establishing a rid...,An Act establishing a rideshare driver bill of rights,Mar 29 2021,"Accompanied A Study Order, See H5312",Oct 06 2022,https://openstates.org/ma/bills/192nd/H1094/,Denise C. Garlick,William J. Okerman,https://malegislature.gov/Bills/192/H1094.pdf,c8fef6099f3a0053277dac26541b86233cce160e
S 3142,NJ,Establishes Blockchain Pr...,Establishes Blockchain Promotion and Integration Program.,Oct 03 2022,"Introduced In The Senate, Referred To Senate Commerce Committee",Oct 03 2022,https://openstates.org/nj/bills/220/S3142/,Andrew Zwicker,,https://pub.njleg.state.nj.us/Bills/2022/S3500/3142_I1.HTM,c93c1c88dbd4867f4b7de002e76348c2af05080e
SB 786,CA,"County birth, death, and ...","County birth, death, and marriage records: blockchain.",Feb 19 2021,"Chaptered By Secretary Of State. Chapter 704, Statutes Of 2022.",Sep 28 2022,https://openstates.org/ca/bills/20212022/SB786/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220SB786&version=20210SB78692CHP,529b681ada3e2102a036dc0342895c362be74c86
S 440,MA,An Act to allow electroni...,An Act to allow electronic and blockchain signatures on nomination papers,Mar 29 2021,"Accompanied A Study Order, See H5026",Sep 12 2022,https://openstates.org/ma/bills/192nd/S440/,William N. Brownsberger,Walter Ziobro,https://malegislature.gov/Bills/192/S440.pdf,1ee54754f1c01411f99d0f1bebc325af624fd9af
SB 638,CA,Employment: personal soci...,Employment: personal social media of applicant or employee.,Feb 19 2021,Ordered To Inactive File On Request Of Assembly Member Reyes.,Aug 31 2022,https://openstates.org/ca/bills/20212022/SB638/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220SB638&version=20210SB63896AMD,0b9696cac5a27108eae071bcefaa690c0fc02e4c
H 103,MA,An Act relative improving...,An Act relative improving voting systems and expanding accessibility,Mar 29 2021,"Accompanied A Study Order, See H5040",Aug 29 2022,https://openstates.org/ma/bills/192nd/H103/,Nicholas A. Boldyga,,https://malegislature.gov/Bills/192/H103.pdf,ee5d2cb902d1720627727b591e0dc80d2ba75083
PC 1425,PR,Para crear la “Ley para P...,"Para crear la “Ley para Promover la Innovación de Productos y Servicios de Blockchain de Puerto Rico”; a los fines de establecer la política pública y regulación de las nuevas tecnologías en el sector de servicios financieros; para añadir los incisos (p), (q), (r), (s), (t), (u), (v), (w), (x), (y), (z), (aa), (bb), (cc), (dd), (ee), (ff), (gg), (hh) e (ii) al Artículo 2, añadir un inciso (d) al Artículo 12 y añadir un nuevo Artículo 8A a la Ley Núm. 273-2012, según enmendada, conocida como la “Ley Reguladora del Centro Financiero Internacional”; a los fines de agregar definiciones, establecer los criterios y el proceso para que una entidad financiera internacional sea designada y certificada como entidad con licencia especial autorizada para realizar actividades de tecnología financiera autorizadas, enumerar las actividades autorizadas de tecnología financiera que pueda realizar una entidad financiera internacional designada y certificada como entidad con licencia especial; añadir los incisos (aa) y (bb) a la Sección 1.2 y añadir una Sección 3.7A a la Ley Núm. 136 - 2010, según enmendada, mejor conocida como la “Ley para Regular los Negocios de Servicios Monetarios”, a los fines de añadir definiciones para los términos “transferencia de moneda” y “moneda virtual convertible” y otros; establecer requisitos en materia de la custodia digital de monedas virtuales sujetas a la transmisión de moneda; enmendar el inciso (l) y añadir los incisos (x) y (y) al Artículo 100 de la Ley Núm. 60 de 18 de junio de 1963, según enmendada, mejor conocida como la “Ley Uniforme de Valores”, a los fines de enmendar la definición de “valor” y añadir las definiciones de “activo digital” e “instrumentos digitales cubiertos”; añadir un sub-inciso (11) al inciso (A) del Artículo 13.05 de la Ley Núm. 164-2009, según enmendada, conocida como la “Ley General de Corporaciones”, a los fines de añadir actividades que no constituyen transacciones de negocio en el Estado Libre Asociado de Puerto Rico; autorizar a cualquier agencia, instrumento público, corporación pública, subdivisión política y/o municipio del Estado Libre Asociado de Puerto Rico a recibir el pago de derechos o dineros que se le adeuden en forma de criptomonedas que sean monedas estables; crear las cajas de arena de tecnología financiera (“innovation sandbox”) para la prueba de productos y servicios financieros en el Estado Libre Asociado de Puerto Rico; autorizar limitadas exenciones de estatutos y reglas específicas bajo ciertas condiciones; establecer estándares y procedimientos para las solicitudes, las operaciones y la supervisión de las cajas de arena; autorizar acuerdos de reciprocidad con otros reguladores; exigir verificaciones de antecedentes penales; crear una cuenta; exigir un bono de protección al consumidor; especificar los estándares para la suspensión y revocación de la autorización de las cajas de arena; autorizar reglas y órdenes; proporcionar fechas efectivas; añadir un inciso (c) al artículo 18 de la Ley Núm. 4 de 10 de octubre de 1985, según enmendada, conocida como la “Ley de la Oficina del Comisionado de Instituciones Financieras”; y para otros fines relacionados.",Jul 25 2022,Referido A Comisión(Es),Aug 15 2022,https://openstates.org/pr/bills/2021-2024/PC1425/,Eddie Charbonier Chinea,,https://sutra.oslpr.org/osl/SUTRA/anejos/141612/PC1425.docx,f7e1ac492e09f05bd50343ec4e44ce90d6b1683a
