Bill #,State,St,Session,Short Subject,Subject,Introduced,Latest Action,Latest Action Date,Link,Primary Sponsor,Cosponsors,Latest Bill Text,Unique ID
SB 1039,Connecticut,CT,2021 Regular Session,An Act Concerning Blockch...,An Act Concerning Blockchain And Emerging Technologies.,Mar 11 2021,Signed By Governor,Jul 12 2021,https://openstates.org/ct/bills/2021/SB1039/,Jaime S. Foster,,https://www.cga.ct.gov/2021/TOB/S/PDF/2021SB-01039-R00-SB.PDF,6906c438cb425369ff76deaf1fc638064cf37ac0
HB 1300,Pennsylvania,PA,2021-2022 Regular Session,An Act amending the act o...,"An Act amending the act of June 3, 1937 (P.L.1333, No.320), known as the Pennsylvania Election Code, as follows: in preliminary provisions, further providing for definitions, providing for legislative authority over elections, establishing the Bureau of Election Audits and providing for special standing in challenges to the Election Code; in the Secretary of the Commonwealth, further providing for powers and duties of the Secretary of the Commonwealth and providing for reports on implementation of elections; in county boards of elections, further providing for powers and duties of county boards and providing for county boards of elections and satellite offices; in district election officers, further providing for  qualifications of election officers, for compensation of district election officers and for appointment of watchers; providing for registration of electors; in ballots, further providing for form of official election ballot and for number of ballots to be printed and specimen ballots; in voting machines, further providing for examination and approval of voting machines by the Secretary of the Commonwealth, for requirements of voting machines, for preparation of voting machines by county election boards and for delivery of voting machines and supplies by county election boards to election officers; in electronic voting systems, further providing for experimental use of electronic voting systems and for statistical sample and providing for requirements of accessible voting machines; in voting apparatus bonds, providing for voting system defects, disclosure, investigations and penalties; in preparation for and conduct of primaries and elections, providing for voter's bill of rights, for senior voter's bill of rights, for disabled voter's bill of rights and further providing for time for opening and closing polls, for manner of applying to vote, persons entitled to vote, voter's certificates, entries to be made in district register, numbered lists of voters and challenges and for deadline for receipt of valid voter registration application; in voting by qualified absentee electors, further providing for applications for official absentee ballots, for date of application for absentee ballot, for delivering or mailing ballots, for voting by absentee electors, providing for supervised voting by qualified absentee electors in certain facilities and further providing for canvassing of official absentee ballots and mail-in ballots; in voting by qualified mail-in electors, further providing for applications for official mail-in ballots, for date of application for mail-in ballot, for delivering or mailing ballots and for voting by mail-in electors; in Pennsylvania Election Law Advisory Board, further providing for Pennsylvania Election Law Advisory Board; providing for early voting by qualified electors; in returns of primaries and elections, further providing for returns to be open to public inspection and exceptions and for computation of returns by county board, certification and issuance of certificates of election; in recounts and contest, providing for powers and duties of the Attorney General relating to elections; in penalties, further providing for disobeying lawful instructions, for perjury, for false affidavits of candidates, for refusal to permit inspection of papers, destruction or removal and Secretary of the Commonwealth, for refusal to permit inspection of papers, destruction or removal and county boards of elections, for insertion and alteration of entries in documents, removal and refusal to deliver, for refusal to permit overseers, watchers, attorneys or candidates to act, for driving away watchers, attorneys, candidates or overseers, for refusal to permit election officers, clerks and machine inspectors to act and driving away said persons, for refusal to administer oath and acting without being sworn, for violation of oath of office by election officers, for peace officers, failure to render assistance and hindering or delaying county board members and others, for nomination petitions and papers and offenses by signers, for false signatures and statements in nomination petitions and papers, for nomination petitions, certificates and papers, destruction, fraudulent filing and suppression, for offenses by printers of ballots, for unlawful possession of ballots and counterfeiting ballots, for forging and destroying ballots, for tampering with voting machines, for destroying, defacing or removing notices, et cetera, for police officers at polling places and for peace officer, failure to quell disturbances at polls, hindering or delaying election officers and others, for election officers permitting unregistered electors to vote, challenges and refusing to permit qualified electors to vote, for election officers refusing to permit elector to vote in proper party at primaries, for frauds by election officers, for prying into ballots, for interference with primaries and elections, frauds and conspiracy, for persons interfering in other districts, for assault and battery at polls, for unlawful assistance in voting, for election officers permitting unlawful assistance, for failure to keep and return record of assisted voters, for unlawful voting, for elector voting ballot of wrong party at primary, for repeat voting at elections, for removing ballots, for commissioners to take soldiers' votes, for fraudulent voting by soldiers, for bribery at elections, for receipts and disbursements of primary and election expenses by persons other than candidates and treasurers, for receipts of primary and election expenses by unauthorized persons, for contributions by corporations or unincorporated associations, for failure to file expense account, for prohibiting duress and intimidation of voters and interference with the free exercise of the elective franchise, for failure to perform duty, for hindering or delaying performance of duty, for violation of any provision of act, for violations of provisions relating to absentee and mail-in ballots and providing for unlawful collection of ballots and prohibiting duress and intimidation of elections officials; providing for reimbursements and withholding; and making a related repeal.",Jun 10 2021,Vetoed By The Governor,Jun 30 2021,https://openstates.org/pa/bills/2021-2022/HB1300/,Seth M. Grove,Francis X. Ryan; Eric R. Nelson; Jason Ortitay; Paul Schemel; Andrew Lewis; Jeff C. Wheeland; Clint Owlett; Ryan E. Mackenzie; Craig T. Staats; Mark M. Gillen; Ann Flood; Jack Rader; Barry J. Jozwiak; Aaron Bernstine; Carrie Lewis DelRosso; Jerry Knowles; Bud Cook; Jason Silvis; Perry A. Stambaugh; Greg Rothman; Jim Rigby; Curtis G. Sonney; Donna Oberlander; Susan C. Helm; Louis C. Schmitt; James B. Struzzi; David R. Millard; Kurt A. Masser; Joe Kerwin; Robert W. Mercuri; Keith Gillespie; Martin T. Causer; Jonathan Fritz,http://www.legis.state.pa.us/CFDOCS/Legis/PN/Public/btCheck.cfm?txtType=HTM&sessYr=2021&sessInd=0&billBody=H&billTyp=B&billNbr=1300&pn=1760,66bc1756e2ebd6af044bc584dbf7e81e6cdb5638
SB 1823,Arizona,AZ,55th Legislature,general appropriations ac...,general appropriations act; 2021-2022,May 24 2021,Signed By Governor,Jun 30 2021,https://openstates.org/az/bills/55th-1st-regular/SB1823/,Karen Fann,Sonny Borrelli; David Gowan; Rick Gray; Vince Leach,https://www.azleg.gov/legtext/55leg/1R/proposed/S.1823FLOORSTEELE0513.docx.htm,a134988371b6906665ee2de1974992f92c64720c
AB 128,California,CA,2021-2022 Regular Session,Budget Act of 2021.,Budget Act of 2021.,Jan 08 2021,"Chaptered By Secretary Of State - Chapter 21, Statutes Of 2021.",Jun 28 2021,https://openstates.org/ca/bills/20212022/AB128/,,,https://leginfo.legislature.ca.gov/faces/billPdf.xhtml?bill_id=202120220AB128&version=20210AB12895CHP,d92a97a35d1ec8ecdf0107c484c8df96c6af13b7
HB 5778,Rhode Island,RI,2021 Regular Session,AN ACT RELATING TO BANKIN...,"AN ACT RELATING TO BANKING - FINANCIAL INSTITUTIONS CREATION AND EXPANSION (Amends provisions relating to receiverships/licensing. Security bonds, reporting requirements, resident agent to eliminate same requirement/clarify language to reduce burden on financial businesses.)",Feb 24 2021,06/25/2021 Referred To Senate Commerce,Jun 25 2021,https://openstates.org/ri/bills/2021/HB5778/,Stephen M. Casey,,http://webserver.rilin.state.ri.us/BillText/BillText21/HouseText21/H5778A.pdf,33edcff75a516d13151bcaa8c03b78ea615928c6
HF 62,Minnesota,MN,"2021, First Special Session",Certificate tokens allowe...,Certificate tokens allowed to issued in place of stock shares.,Jun 25 2021,"Introduction And First Reading, Referred To Commerce Finance And Policy",Jun 25 2021,https://openstates.org/mn/bills/2021s1/HF62/,Jeremy Munson,Calvin K. Bahr; Erik Mortensen,https://www.revisor.mn.gov/bills/text.php?number=HF62&version=0&session=ls92&session_year=2021&session_number=1,9c4ad9b57a0e92206f0da22ca31b46b51814cc18
A 5926,New Jersey,NJ,2020-2021 Regular Session,"""Virtual Currency and Blo...","""Virtual Currency and Blockchain Regulation Act.""",Jun 24 2021,"Introduced In The Assembly, Referred To Assembly Judiciary Committee",Jun 24 2021,https://openstates.org/nj/bills/219/A5926/,Yvonne Lopez,,http://www.njleg.state.nj.us/2020/Bills/A9999/5926_I1.HTM,ef52b61d3daadd7c3b4431476dacfebe59b3b91b
HR 3723,United States,US,117th Congress,Consumer Safety Technolog...,Consumer Safety Technology Act,Jun 04 2021,"Received In The Senate And Read Twice And Referred To The Committee On Commerce, Science, And Transportation.",Jun 24 2021,https://openstates.org/us/bills/117/HR3723/,Jerry McNerney,Michael C. Burgess; Darren Soto; Brett Guthrie; Warren Davidson; Van Taylor,https://www.govinfo.gov/content/pkg/BILLS-117hr3723rfs/pdf/BILLS-117hr3723rfs.pdf,49c2e645b099072ff8ada4552e265e930752a509
S 2485,Massachusetts,MA,192nd Legislature (2021-2022),Amendment S.2485,Amendment S.2485,Jun 24 2021,See H3871,Jun 24 2021,https://openstates.org/ma/bills/192nd/S2485/,,Senate Committee on Ways and Means,https://malegislature.gov/Bills/192/S2485.pdf,e36a4ecbf22121df0e1a90c79b2e0e250f77fbc0
HB 21-1268,Colorado,CO,2021 Regular Session,Study Emerging Technologi...,Study Emerging Technologies For Water Management,Apr 09 2021,Governor Signed,Jun 18 2021,https://openstates.org/co/bills/2021A/HB21-1268/,Cleave Simpson,,http://leg.colorado.gov/sites/default/files/2021a_hb1268_s_app_002.pdf,9abbfa659793e8f2faf168223479a4195cfff516
HB 6392,Rhode Island,RI,2021 Regular Session,AN ACT RELATING TO FINANC...,AN ACT RELATING TO FINANCIAL INSTITUTIONS -- SMALL LOAN LENDERS (Protects borrowers using motor vehicle titles as collateral for loans.),Jun 04 2021,06/15/2021 Committee Recommended Measure Be Held For Further Study,Jun 15 2021,https://openstates.org/ri/bills/2021/HB6392/,Carol Hagan McEntee,,http://webserver.rilin.state.ri.us/BillText/BillText21/HouseText21/H6392.pdf,55b7f8aaad96fc67bf4884bdd9553bea4cc79647
HR 213,Louisiana,LA,2021 Regular Session,COMMERCE: Directs the Hou...,"COMMERCE: Directs the House Committee on Commerce, or a subcommittee thereof, to study the potential role of blockchain technology in the state",Jun 09 2021,Taken By The Clerk Of The House And Presented To The Secretary Of State In Accordance With The Rules Of The House.,Jun 14 2021,https://openstates.org/la/bills/2021/HR213/,Mark Wright,,http://www.legis.la.gov/Legis/ViewDocument.aspx?d=1233970,1c612f06608a53cd6cf0faf06466242efb2525b5
H 3773,Massachusetts,MA,192nd Legislature (2021-2022),An Act making appropriati...,An Act making appropriations for fiscal year 2021 to provide for supplementing certain existing appropriations and for certain other activities and projects,May 20 2021,"Reported, In Part, By H3862",Jun 09 2021,https://openstates.org/ma/bills/192nd/H3773/,Charles D. Baker,,https://malegislature.gov/Bills/192/H3773.pdf,02650737a0ba5cccc57d0c8ce15b328a236989ee
HB 1576,Texas,TX,87th Legislature (2021),Relating to the creation ...,Relating to the creation of a work group on blockchain matters concerning this state.,Feb 04 2021,Effective On 9/1/21,Jun 07 2021,https://openstates.org/tx/bills/87/HB1576/,Angela Paxton,,http://capitol.texas.gov/tlodocs/87R/billtext/html/HB01576F.HTM,b7ba0667d19cc9e82d9d7b1fdb2391ba63255017
